year,region,month,billings_thousand_usd
2001,Asia Pacific,July,2711531
2001,Asia Pacific,August,3031622
2001,Asia Pacific,September,3986521
2001,Asia Pacific,October,3103773
2001,Asia Pacific,November,3288306
2001,Asia Pacific,December,3763262
2001,Europe,January,3052845
2001,Europe,February,2965906
2001,Europe,March,3819818
2001,Europe,April,2439495
2001,Europe,May,2196459
2001,Europe,June,2870184
2001,Europe,July,1692238
2001,Europe,August,1768516
2001,Europe,September,2822728
2001,Europe,October,2014167
2001,Europe,November,2119288
2001,Europe,December,2454622
2001,Japan,January,3532288
2001,Japan,February,3442623
2001,Japan,March,3807985
2001,Japan,April,2825404
2001,Japan,May,2783229
2001,Japan,June,3143546
2001,Japan,July,2388567
2001,Japan,August,2183770
2001,Japan,September,2662147
2001,Japan,October,2199451
2001,Japan,November,2111129
2001,Japan,December,2067676
2001,Worldwide,January,12965433
2001,Worldwide,February,13499927
2001,Worldwide,March,16771797
2001,Worldwide,April,10941047
2001,Worldwide,May,10411223
2001,Worldwide,June,13271661
2001,Worldwide,July,8770753
2001,Worldwide,August,9292675
2001,Worldwide,September,12500106
2001,Worldwide,October,9524516
2001,Worldwide,November,9787580
2001,Worldwide,December,11225892
2002,Americas,January,2204457
2002,Americas,February,2419266
2002,Americas,March,3209539
2002,Americas,April,2217146
2002,Americas,May,2519930
2002,Americas,June,3017547
2002,Americas,July,2255203
2002,Americas,August,2467481
2002,Americas,September,3176114
2002,Americas,October,2295235
2002,Americas,November,2608932
2002,Americas,December,2884627
2002,Asia Pacific,January,3146515
2002,Asia Pacific,February,3309197
2002,Asia Pacific,March,4812701
2002,Asia Pacific,April,3787661
2002,Asia Pacific,May,3883881
2002,Asia Pacific,June,4838755
2002,Asia Pacific,July,4065451
2002,Asia Pacific,August,4228547
2002,Asia Pacific,September,5241478
2002,Asia Pacific,October,4195297
2002,Asia Pacific,November,4598607
2002,Asia Pacific,December,5047626
2002,Europe,January,1806390
2002,Europe,February,2030798
2002,Europe,March,2932907
2002,Europe,April,1882454
2002,Europe,May,1899398
2002,Europe,June,2657578
2002,Europe,July,1906951
2002,Europe,August,2077459
2002,Europe,September,2964911
2002,Europe,October,2335639
