Year,Week,Region,Fregion,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2011,2,NE,1,11200,5690,2560,2990,13.36,16.36,8.02,8.33
2011,3,NE,1,9900,4770,1970,2440,9.15,6.24,0.51,-3.17
2011,4,NE,1,9380,4390,1730,2230,9.32,6.04,-5.98,1.36
2011,5,NE,1,10010,4590,1840,2180,-1.67,-4.97,-13.21,-14.51
2011,6,NE,1,9730,4420,1760,2120,0.62,-4.33,-12.0,-14.52
2011,7,NE,1,9960,4590,1840,2270,21.76,17.69,11.52,9.66
2011,8,NE,1,10140,4640,1880,2250,22.76,23.08,21.29,10.29
2011,9,NE,1,9490,4300,1760,2180,3.6,1.65,-2.76,-5.22
2011,10,NE,1,10610,4810,1890,2510,5.78,5.02,-2.58,3.72
2011,11,NE,1,10460,4920,1910,2590,3.05,2.93,-4.02,2.37
2011,12,NE,1,10740,4940,1830,2650,18.41,11.51,-1.61,6.85
2011,13,NE,1,10590,4870,1850,2530,0.57,0.83,-7.96,-2.32
2011,14,NE,1,10760,4930,1980,2490,11.97,11.54,4.76,9.21
2011,15,NE,1,10480,4790,1820,2410,16.7,18.56,5.81,11.57
2011,16,NE,1,9730,4400,1730,2170,3.07,4.02,0.58,-3.12
2011,17,NE,1,8490,3920,1520,2000,-13.81,-16.77,-22.05,-21.88
2011,18,NE,1,5480,2660,1140,1290,-45.25,-44.35,-42.42,-49.41
2011,19,NE,1,9610,4790,2060,2590,2.34,7.16,10.75,4.44
2011,20,NE,1,9320,4510,1900,2440,-0.75,1.81,3.83,2.52
2011,21,NE,1,9490,4450,1880,2300,6.27,5.95,8.67,-1.29
2011,22,NE,1,9080,4410,1830,2310,-2.68,-0.23,0.55,-4.94
2011,23,NE,1,7840,3770,1520,2000,6.96,9.28,4.83,9.89
2011,24,NE,1,9680,4640,1790,2460,7.68,10.74,-0.56,9.33
2011,25,NE,1,9550,4430,1740,2400,9.64,5.98,-2.79,5.73
2011,26,NE,1,9460,4480,1790,2390,10.0,8.47,5.92,7.17
2011,27,NE,1,8800,4090,1620,2200,7.32,4.87,-2.41,2.33
2011,28,NE,1,6890,3190,1230,1710,4.39,3.24,-3.15,3.01
2011,29,NE,1,8270,3840,1480,2030,-0.24,-0.26,-8.64,-2.4
2011,30,NE,1,8610,4090,1620,2170,6.82,7.07,1.25,9.6
2011,31,NE,1,8520,3980,1610,2060,7.04,7.28,5.23,3.0
2011,32,NE,1,8430,3950,1530,2110,0.96,-1.5,-1.92,-5.8
2011,33,NE,1,8370,3930,1570,2010,8.7,7.67,3.29,1.01
2011,34,NE,1,8210,3780,1440,2000,0.0,-4.06,-10.56,-5.66
2011,35,NE,1,7960,3760,1460,1960,-3.75,-3.59,-8.75,-5.31
2011,36,NE,1,7230,3380,1350,1810,-11.07,-14.65,-15.62,-12.98
2011,37,NE,1,6520,2990,1080,1560,1.09,0.34,-10.74,-1.27
2011,38,NE,1,8560,3960,1520,2110,-1.15,-2.7,-7.88,-3.65
2011,39,NE,1,8110,3820,1530,2030,-9.59,-8.83,-7.27,-10.18
2011,40,NE,1,7520,3570,1490,1950,-12.25,-11.41,-8.02,-8.88
2011,41,NE,1,8890,4200,1630,2200,5.83,5.0,2.52,1.38
2011,42,NE,1,7120,3380,1310,1780,-4.3,-2.59,3.97,-4.81
2011,43,NE,1,8570,4030,1570,2100,-2.28,-3.12,-7.1,-4.98
2011,44,NE,1,8420,3890,1550,2110,-2.66,-7.82,-8.28,-4.52
2011,45,NE,1,7950,3740,1430,2050,-5.58,-9.44,-10.62,-8.89
2011,46,NE,1,6800,3140,1240,1690,-16.67,-18.65,-21.52,-18.75
2011,47,NE,1,9440,4440,1770,2410,8.38,6.47,9.26,8.56
2011,48,NE,1,6070,2860,1120,1480,0.17,0.7,5.66,-3.9
2011,49,NE,1,7940,3790,1500,1990,-2.7,-3.81,-7.41,-6.57
2011,50,NE,1,8240,3920,1590,2050,-5.61,-3.21,-4.22,-4.65
2011,51,NE,1,8460,4000,1700,2080,22.97,23.84,27.82,16.85
2011,52,NE,1,8110,4010,1690,2150,29.14,28.94,20.71,29.52
2012,1,NE,1,670,330,200,180,-84.91,-85.07,-79.8,-84.35
2012,2,NE,1,9020,4680,2110,2500,-19.46,-17.75,-17.58,-16.39
2012,3,NE,1,11450,5500,2340,2960,15.66,15.3,18.78,21.31
2012,4,NE,1,9710,4520,1840,2310,3.52,2.96,6.36,3.59
2012,5,NE,1,8270,3770,1590,1940,-17.38,-17.86,-13.59,-11.01
2012,6,NE,1,10410,4710,1920,2380,6.99,6.56,9.09,12.26
2012,7,NE,1,10450,4680,1930,2350,4.92,1.96,4.89,3.52
2012,8,NE,1,10090,4580,1880,2310,-0.49,-1.29,0.0,2.67
2012,9,NE,1,9700,4340,1640,2180,2.21,0.93,-6.82,0.0
2012,10,NE,1,10840,4940,1940,2520,2.17,2.7,2.65,0.4
2012,11,NE,1,10680,4910,1930,2480,2.1,-0.2,1.05,-4.25
2012,12,NE,1,10900,5040,1990,2740,1.49,2.02,8.74,3.4
2012,13,NE,1,10340,4900,1930,2570,-2.36,0.62,4.32,1.58
2012,14,NE,1,10880,5050,1960,2640,1.12,2.43,-1.01,6.02
2012,15,NE,1,10260,4720,1840,2430,-2.1,-1.46,1.1,0.83
2012,16,NE,1,9030,4110,1630,2080,-7.19,-6.59,-5.78,-4.15
2012,17,NE,1,9680,4400,1690,2250,14.02,12.24,11.18,12.5
2012,18,NE,1,9850,4670,1900,2430,79.74,75.56,66.67,88.37
2012,19,NE,1,9740,4550,1810,2390,1.35,-5.01,-12.14,-7.72
2012,20,NE,1,9680,4670,1770,2520,3.86,3.55,-6.84,3.28
2012,21,NE,1,9230,4350,1710,2320,-2.74,-2.25,-9.04,0.87
2012,22,NE,1,8930,4210,1680,2210,-1.65,-4.54,-8.2,-4.33
2012,23,NE,1,7200,3340,1320,1750,-8.16,-11.41,-13.16,-12.5
2012,24,NE,1,9280,4450,1690,2350,-4.13,-4.09,-5.59,-4.47
2012,25,NE,1,8720,4050,1580,2130,-8.69,-8.58,-9.2,-11.25
2012,26,NE,1,8460,3970,1550,2130,-10.57,-11.38,-13.41,-10.88
2012,27,NE,1,8600,4130,1660,2180,-2.27,0.98,2.47,-0.91
2012,28,NE,1,6840,3250,1250,1740,-0.73,1.88,1.63,1.75
2012,29,NE,1,8120,3870,1520,2060,-1.81,0.78,2.7,1.48
2012,30,NE,1,8280,3940,1580,2090,-3.83,-3.67,-2.47,-3.69
2012,31,NE,1,8230,3880,1490,2060,-3.4,-2.51,-7.45,0.0
2012,32,NE,1,8270,3960,1500,2080,-1.9,0.25,-1.96,-1.42
2012,33,NE,1,8200,3770,1380,2070,-2.03,-4.07,-12.1,2.99
2012,34,NE,1,7930,3740,1490,1990,-3.41,-1.06,3.47,-0.5
2012,35,NE,1,8240,3840,1490,1960,3.52,2.13,2.05,0.0
2012,36,NE,1,6510,3000,1220,1560,-9.96,-11.24,-9.63,-13.81
2012,37,NE,1,6090,2920,1170,1580,-6.6,-2.34,8.33,1.28
2012,38,NE,1,9540,4400,1690,2290,11.45,11.11,11.18,8.53
2012,39,NE,1,8550,3990,1560,2050,5.43,4.45,1.96,0.99
2012,40,NE,1,8540,3980,1580,2010,13.56,11.48,6.04,3.08
2012,41,NE,1,8710,4020,1530,2140,-2.02,-4.29,-6.13,-2.73
