filing_form,filing_date,period_end,duration,market_category,category_key,revenue_usd_millions
10-Q,2024-11-20,"Oct. 27, 2024",3 Months Ended,Networking,Networking,3127
10-Q,2024-11-20,"Oct. 29, 2023",3 Months Ended,Networking,Networking,2606
10-Q,2024-11-20,"Oct. 27, 2024",9 Months Ended,Networking,Networking,9966
10-Q,2024-11-20,"Oct. 29, 2023",9 Months Ended,Networking,Networking,5244
10-Q,2024-11-20,"Oct. 27, 2024",3 Months Ended,Gaming,Gaming,3279
10-Q,2024-11-20,"Oct. 29, 2023",3 Months Ended,Gaming,Gaming,2856
10-Q,2024-11-20,"Oct. 27, 2024",9 Months Ended,Gaming,Gaming,8806
10-Q,2024-11-20,"Oct. 29, 2023",9 Months Ended,Gaming,Gaming,7582
10-Q,2024-11-20,"Oct. 27, 2024",3 Months Ended,Professional Visualization,ProfessionalVisualization,486
10-Q,2024-11-20,"Oct. 29, 2023",3 Months Ended,Professional Visualization,ProfessionalVisualization,416
10-Q,2024-11-20,"Oct. 27, 2024",9 Months Ended,Professional Visualization,ProfessionalVisualization,1367
10-Q,2024-11-20,"Oct. 29, 2023",9 Months Ended,Professional Visualization,ProfessionalVisualization,1090
10-Q,2024-11-20,"Oct. 27, 2024",3 Months Ended,Automotive,Automotive,449
10-Q,2024-11-20,"Oct. 29, 2023",3 Months Ended,Automotive,Automotive,261
10-Q,2024-11-20,"Oct. 27, 2024",9 Months Ended,Automotive,Automotive,1124
10-Q,2024-11-20,"Oct. 29, 2023",9 Months Ended,Automotive,Automotive,810
10-Q,2024-11-20,"Oct. 27, 2024",3 Months Ended,OEM and Other,OEMAndOther,97
10-Q,2024-11-20,"Oct. 29, 2023",3 Months Ended,OEM and Other,OEMAndOther,73
10-Q,2024-11-20,"Oct. 27, 2024",9 Months Ended,OEM and Other,OEMAndOther,263
10-Q,2024-11-20,"Oct. 29, 2023",9 Months Ended,OEM and Other,OEMAndOther,216
10-K,2025-02-26,"Jan. 26, 2025",12 Months Ended,Total,Total,130497
10-K,2025-02-26,"Jan. 28, 2024",12 Months Ended,Total,Total,60922
10-K,2025-02-26,"Jan. 29, 2023",12 Months Ended,Total,Total,26974
10-K,2025-02-26,"Jan. 26, 2025",12 Months Ended,Data Center,DataCenter,115186
10-K,2025-02-26,"Jan. 28, 2024",12 Months Ended,Data Center,DataCenter,47525
10-K,2025-02-26,"Jan. 29, 2023",12 Months Ended,Data Center,DataCenter,15005
10-K,2025-02-26,"Jan. 26, 2025",12 Months Ended,Compute,Compute,102196
10-K,2025-02-26,"Jan. 28, 2024",12 Months Ended,Compute,Compute,38950
10-K,2025-02-26,"Jan. 29, 2023",12 Months Ended,Compute,Compute,11317
10-K,2025-02-26,"Jan. 26, 2025",12 Months Ended,Networking,Networking,12990
10-K,2025-02-26,"Jan. 28, 2024",12 Months Ended,Networking,Networking,8575
10-K,2025-02-26,"Jan. 29, 2023",12 Months Ended,Networking,Networking,3688
10-K,2025-02-26,"Jan. 26, 2025",12 Months Ended,Gaming,Gaming,11350
10-K,2025-02-26,"Jan. 28, 2024",12 Months Ended,Gaming,Gaming,10447
10-K,2025-02-26,"Jan. 29, 2023",12 Months Ended,Gaming,Gaming,9067
10-K,2025-02-26,"Jan. 26, 2025",12 Months Ended,Professional Visualization,ProfessionalVisualization,1878
10-K,2025-02-26,"Jan. 28, 2024",12 Months Ended,Professional Visualization,ProfessionalVisualization,1553
10-K,2025-02-26,"Jan. 29, 2023",12 Months Ended,Professional Visualization,ProfessionalVisualization,1544
10-K,2025-02-26,"Jan. 26, 2025",12 Months Ended,Automotive,Automotive,1694
10-K,2025-02-26,"Jan. 28, 2024",12 Months Ended,Automotive,Automotive,1091
10-K,2025-02-26,"Jan. 29, 2023",12 Months Ended,Automotive,Automotive,903
10-K,2025-02-26,"Jan. 26, 2025",12 Months Ended,OEM and Other,OEMAndOther,389
10-K,2025-02-26,"Jan. 28, 2024",12 Months Ended,OEM and Other,OEMAndOther,306
10-K,2025-02-26,"Jan. 29, 2023",12 Months Ended,OEM and Other,OEMAndOther,455
10-Q,2025-05-28,"Apr. 27, 2025",3 Months Ended,Total,Total,44062
10-Q,2025-05-28,"Apr. 28, 2024",3 Months Ended,Total,Total,26044
